set,pdbid,-logKd/Ki
pdbbind,5ka1,4.48
pdbbind,5ovv,4.48
pdbbind,5tya,4.48
pdbbind,6d15,4.48
pdbbind,1hi4,4.49
pdbbind,1j14,4.49
pdbbind,1o7o,4.49
pdbbind,3hl8,4.49
pdbbind,3kmy,4.49
pdbbind,4cwf,4.49
pdbbind,5isz,4.49
pdbbind,5t19,4.49
pdbbind,6b7a,4.49
pdbbind,3sw8,4.50
pdbbind,5ovx,4.50
pdbbind,5yl2,4.50
pdbbind,6jag,4.50
pdbbind,1gi7,4.51
pdbbind,2r1y,4.51
pdbbind,3aas,4.51
pdbbind,3uug,4.51
pdbbind,4abb,4.51
pdbbind,4g90,4.51
pdbbind,6nu1,4.51
pdbbind,6qlq,4.51
pdbbind,1ctt,4.52
pdbbind,1mrn,4.52
pdbbind,1z4o,4.52
pdbbind,2a4m,4.52
pdbbind,2ra6,4.52
pdbbind,2wm0,4.52
pdbbind,3bzf,4.52
pdbbind,3gy7,4.52
pdbbind,3r6u,4.52
pdbbind,4gzw,4.52
pdbbind,4trc,4.52
pdbbind,5o1f,4.52
pdbbind,5vh0,4.52
pdbbind,6nco,4.52
pdbbind,6p88,4.52
pdbbind,3h30,4.53
pdbbind,6i11,4.53
pdbbind,1amw,4.54
pdbbind,1b2h,4.54
pdbbind,1lyx,4.54
pdbbind,1szd,4.54
pdbbind,2zz1,4.54
pdbbind,2zz2,4.54
pdbbind,3iub,4.54
pdbbind,4b76,4.54
pdbbind,5etb,4.54
pdbbind,5u0d,4.54
pdbbind,6p5o,4.54
pdbbind,6pga,4.54
pdbbind,6pid,4.54
pdbbind,3b2q,4.55
pdbbind,3djv,4.55
pdbbind,3p8p,4.55
pdbbind,3ppq,4.55
pdbbind,3rr4,4.55
pdbbind,3suv,4.55
pdbbind,4myd,4.55
pdbbind,5c2o,4.55
pdbbind,5oh4,4.55
pdbbind,5oss,4.55
pdbbind,6edr,4.55
pdbbind,6gnp,4.55
pdbbind,4x3k,4.56
pdbbind,5ost,4.56
pdbbind,4fp1,4.57
pdbbind,4or4,4.57
pdbbind,4yrd,4.57
pdbbind,5ko5,4.57
pdbbind,5ovr,4.57
pdbbind,6np5,4.57
pdbbind,4bi7,4.58
pdbbind,5j7q,4.58
pdbbind,5u0g,4.58
pdbbind,1bma,4.59
pdbbind,2ihj,4.59
pdbbind,2jiw,4.59
pdbbind,3hp9,4.59
pdbbind,3ujc,4.59
pdbbind,4c6u,4.59
pdbbind,4g8y,4.59
pdbbind,5k9w,4.59
pdbbind,6fnq,4.59
pdbbind,1pa9,4.60
pdbbind,1tx7,4.60
pdbbind,1u33,4.60
pdbbind,1upf,4.60
pdbbind,2pyy,4.60
pdbbind,2v54,4.60
pdbbind,2vb8,4.60
pdbbind,2vba,4.60
pdbbind,2wlz,4.60
pdbbind,2x0y,4.60
pdbbind,3d7k,4.60
pdbbind,3vhk,4.60
pdbbind,4bc5,4.60
pdbbind,4jal,4.60
pdbbind,4p58,4.60
pdbbind,6n5x,4.60
pdbbind,6p87,4.60
pdbbind,6pgb,4.60
pdbbind,6qe0,4.60
pdbbind,2bo4,4.61
pdbbind,3lgs,4.61
pdbbind,4io4,4.61
pdbbind,4ocq,4.61
pdbbind,5ulp,4.61
pdbbind,6eq1,4.61
pdbbind,1f4f,4.62
pdbbind,2a5c,4.62
pdbbind,2f6t,4.62
pdbbind,2xm2,4.62
pdbbind,3f5k,4.62
pdbbind,3tk2,4.62
pdbbind,3u90,4.62
pdbbind,3umq,4.62
pdbbind,4abf,4.62
pdbbind,4ad3,4.62
pdbbind,4ynl,4.62
pdbbind,5jgq,4.62
pdbbind,6f1j,4.62
pdbbind,3uj9,4.63
pdbbind,4hzm,4.63
pdbbind,5ji8,4.63
pdbbind,5n34,4.63
pdbbind,4psb,4.64
pdbbind,5e73,4.64
pdbbind,5jhk,4.64
pdbbind,6qlu,4.64
pdbbind,3qtv,4.65
pdbbind,4q93,4.65
pdbbind,4w9c,4.65
pdbbind,6b98,4.65
pdbbind,1bzj,4.66
pdbbind,1h4w,4.66
pdbbind,1m1b,4.66
pdbbind,2ca8,4.66
pdbbind,2ha2,4.66
pdbbind,3ddf,4.66
pdbbind,3mss,4.66
pdbbind,4tt2,4.66
pdbbind,5j1r,4.66
pdbbind,5o1d,4.66
pdbbind,6ezq,4.66
pdbbind,6g2c,4.66
pdbbind,6ooy,4.66
pdbbind,6pg7,4.66
pdbbind,6qln,4.66
pdbbind,3vw1,4.67
pdbbind,4gkh,4.67
pdbbind,4nku,4.67
pdbbind,5jsq,4.67
pdbbind,1c5p,4.68
pdbbind,1wn6,4.68
pdbbind,2nsl,4.68
pdbbind,2uy4,4.68
pdbbind,2ypo,4.68
pdbbind,3g35,4.68
pdbbind,4lar,4.68
pdbbind,4ymg,4.68
pdbbind,5a5q,4.68
pdbbind,5aoj,4.68
pdbbind,5eq1,4.68
pdbbind,5fe9,4.68
pdbbind,5k1d,4.68
pdbbind,5kab,4.68
pdbbind,6bm6,4.68
pdbbind,6ift,4.68
pdbbind,2rio,4.69
pdbbind,3ujd,4.69
pdbbind,4agp,4.69
pdbbind,4mgd,4.69
pdbbind,4tpw,4.69
pdbbind,6mg5,4.69
pdbbind,1c5n,4.70
pdbbind,1c86,4.70
pdbbind,2cex,4.70
pdbbind,2dw7,4.70
pdbbind,2fu8,4.70
pdbbind,2i2c,4.70
pdbbind,3kiv,4.70
pdbbind,3nkk,4.70
pdbbind,3suw,4.70
pdbbind,4j7d,4.70
pdbbind,4j93,4.70
pdbbind,4luz,4.70
pdbbind,4lzr,4.70
pdbbind,5h85,4.70
pdbbind,5wbm,4.70
pdbbind,6fba,4.70
pdbbind,6gj6,4.70
pdbbind,6jbe,4.70
pdbbind,6p86,4.70
pdbbind,6r13,4.70
pdbbind,1v2t,4.71
pdbbind,4ljh,4.71
pdbbind,4yb5,4.71
pdbbind,5his,4.71
pdbbind,5kma,4.71
pdbbind,5otc,4.71
pdbbind,6evn,4.71
pdbbind,6ueg,4.71
pdbbind,184l,4.72
pdbbind,1vso,4.72
pdbbind,3ebo,4.72
pdbbind,3f6g,4.72
pdbbind,4zw7,4.72
pdbbind,5hjq,4.72
pdbbind,6qqw,4.72
pdbbind,1v2o,4.73
pdbbind,4ayu,4.73
pdbbind,5gmn,4.73
pdbbind,1bty,4.74
pdbbind,1w4p,4.74
pdbbind,2e2p,4.74
pdbbind,4ih6,4.74
pdbbind,4jxs,4.74
pdbbind,4kyk,4.74
pdbbind,5k03,4.74
pdbbind,5ov8,4.74
pdbbind,6eq5,4.74
pdbbind,6szp,4.74
pdbbind,6t1j,4.74
pdbbind,3nim,4.75
pdbbind,3vw2,4.75
pdbbind,1q8t,4.76
pdbbind,3acw,4.76
pdbbind,3o5n,4.76
pdbbind,4wop,4.76
pdbbind,5lne,4.76
pdbbind,1str,4.77
pdbbind,2afw,4.77
pdbbind,2b4l,4.77
pdbbind,3d50,4.77
pdbbind,3iqu,4.77
pdbbind,3rm9,4.77
pdbbind,4kax,4.77
pdbbind,4uoh,4.77
pdbbind,5iyy,4.77
pdbbind,5mkr,4.77
pdbbind,5mks,4.77
pdbbind,5o5a,4.77
pdbbind,5orj,4.77
pdbbind,6fgg,4.77
pdbbind,6mkw,4.77
pdbbind,6t1l,4.77
pdbbind,4ad6,4.78
pdbbind,6czc,4.78
pdbbind,1oss,4.79
pdbbind,2nsj,4.79
pdbbind,3eb1,4.79
pdbbind,5k1f,4.79
pdbbind,1bju,4.80
pdbbind,1ghz,4.80
pdbbind,2nta,4.80
pdbbind,3bpc,4.80
pdbbind,3dnd,4.80
pdbbind,4aq6,4.80
pdbbind,4llp,4.80
pdbbind,4lzs,4.80
pdbbind,4pb2,4.80
pdbbind,5j3l,4.80
pdbbind,5jzi,4.80
pdbbind,6jap,4.80
pdbbind,4ago,4.81
pdbbind,6p84,4.81
pdbbind,1aid,4.82
pdbbind,1dud,4.82
pdbbind,1f8e,4.82
pdbbind,1v1j,4.82
pdbbind,1xff,4.82
pdbbind,1y3p,4.82
pdbbind,2gl0,4.82
pdbbind,2gzl,4.82
pdbbind,2pwg,4.82
pdbbind,2ypi,4.82
pdbbind,3kmx,4.82
pdbbind,3r88,4.82
pdbbind,3vd4,4.82
pdbbind,4ciw,4.82
pdbbind,4fys,4.82
pdbbind,4ih3,4.82
pdbbind,4io6,4.82
pdbbind,4kwf,4.82
pdbbind,4rlu,4.82
pdbbind,5ewa,4.82
pdbbind,6aox,4.82
pdbbind,6d17,4.82
pdbbind,6h2t,4.82
pdbbind,6qlr,4.82
pdbbind,5efa,4.83
pdbbind,3vvy,4.84
pdbbind,4kif,4.84
pdbbind,4uof,4.84
pdbbind,5d1r,4.84
pdbbind,6jfk,4.84
pdbbind,186l,4.85
pdbbind,1c83,4.85
pdbbind,1ecv,4.85
pdbbind,1n51,4.85
pdbbind,1qji,4.85
pdbbind,1xgi,4.85
pdbbind,2qwd,4.85
pdbbind,2r9x,4.85
pdbbind,2w4x,4.85
pdbbind,3cj2,4.85
pdbbind,3f70,4.85
pdbbind,3ohi,4.85
pdbbind,3ru1,4.85
pdbbind,3zyf,4.85
pdbbind,4hpi,4.85
pdbbind,4iic,4.85
pdbbind,4j7e,4.85
pdbbind,4ovh,4.85
pdbbind,4q87,4.85
pdbbind,5efc,4.85
pdbbind,5ewk,4.85
pdbbind,5jsg,4.85
pdbbind,5o1h,4.85
pdbbind,6gga,4.85
pdbbind,2brb,4.86
pdbbind,5yfs,4.86
pdbbind,6jao,4.86
pdbbind,4ipj,4.87
pdbbind,4q0k,4.87
pdbbind,4rlw,4.87
pdbbind,4rra,4.87
pdbbind,3exh,4.88
pdbbind,3lp4,4.88
pdbbind,3pju,4.88
pdbbind,5nwe,4.88
pdbbind,6jon,4.88
pdbbind,1p1q,4.89
pdbbind,2aoc,4.89
pdbbind,2j77,4.89
pdbbind,2vo5,4.89
pdbbind,3d4z,4.89
pdbbind,3juk,4.89
pdbbind,3m8u,4.89
pdbbind,4l9i,4.89
pdbbind,4pnu,4.89
pdbbind,5hbn,4.89
pdbbind,5ii2,4.89
pdbbind,5ipc,4.89
pdbbind,5j7w,4.89
pdbbind,5l3a,4.89
pdbbind,5o9o,4.89
pdbbind,5oha,4.89
pdbbind,5z7b,4.89
pdbbind,6i5g,4.89
pdbbind,6jdl,4.89
pdbbind,6qrc,4.89
pdbbind,3cf8,4.90
pdbbind,1km3,4.91
pdbbind,5l8a,4.91
pdbbind,6dgr,4.91
pdbbind,1bzc,4.92
pdbbind,1e1v,4.92
pdbbind,1jqy,4.92
pdbbind,2haw,4.92
pdbbind,3eax,4.92
pdbbind,3rv8,4.92
pdbbind,4j47,4.92
pdbbind,5d3t,4.92
pdbbind,5evk,4.92
pdbbind,5otr,4.92
pdbbind,6dq4,4.92
pdbbind,6j0o,4.92
pdbbind,6pg9,4.92
pdbbind,6qqv,4.92
pdbbind,6r11,4.92
pdbbind,6r18,4.92
pdbbind,3uxk,4.93
pdbbind,4ido,4.93
pdbbind,1e2k,4.94
pdbbind,2gss,4.94
pdbbind,2vo4,4.94
pdbbind,2vpe,4.94
pdbbind,4dmw,4.94
pdbbind,4ts1,4.94
pdbbind,6hmg,4.94
pdbbind,1jn4,4.95
pdbbind,2x95,4.95
pdbbind,4bup,4.95
pdbbind,5yz2,4.95
pdbbind,1dar,4.96
pdbbind,1elr,4.96
pdbbind,1o5g,4.96
pdbbind,1tsy,4.96
pdbbind,1uz8,4.96
pdbbind,2vjx,4.96
pdbbind,2w67,4.96
pdbbind,3bxg,4.96
pdbbind,3veh,4.96
pdbbind,3zsq,4.96
pdbbind,4jsa,4.96
pdbbind,4rlt,4.96
pdbbind,5ioz,4.96
pdbbind,6gjw,4.96
pdbbind,6pg5,4.96
pdbbind,6pia,4.96
pdbbind,6r0v,4.96
pdbbind,3qbc,4.97
pdbbind,4e3g,4.97
pdbbind,4in9,4.97
pdbbind,6arm,4.97
pdbbind,2w47,4.98
pdbbind,4re2,4.98
pdbbind,6jof,4.98
pdbbind,4w9d,4.99
pdbbind,5gj9,4.99
pdbbind,6gnw,4.99
pdbbind,6p85,4.99
pdbbind,1c84,5.00
pdbbind,1hlk,5.00
pdbbind,1nc3,5.00
pdbbind,1o35,5.00
pdbbind,1ql7,5.00
pdbbind,2oiq,5.00
pdbbind,2oym,5.00
pdbbind,2vxn,5.00
pdbbind,3cfn,5.00
pdbbind,3gbe,5.00
pdbbind,3k02,5.00
pdbbind,3p9m,5.00
pdbbind,4czs,5.00
pdbbind,4u6c,5.00
pdbbind,4xoe,5.00
pdbbind,4xxh,5.00
pdbbind,5evb,5.00
pdbbind,5evd,5.00
pdbbind,5itp,5.00
pdbbind,5x54,5.00
pdbbind,5yft,5.00
pdbbind,1ppi,5.01
pdbbind,2glp,5.01
pdbbind,4agq,5.01
pdbbind,5oa2,5.01
pdbbind,6g2e,5.01
pdbbind,6p89,5.01
pdbbind,2d0k,5.02
pdbbind,2xbp,5.02
pdbbind,3bgc,5.02
pdbbind,3usx,5.02
pdbbind,4u70,5.02
pdbbind,4w9l,5.02
pdbbind,6hgf,5.02
pdbbind,1i1e,5.03
pdbbind,4io5,5.03
pdbbind,4np9,5.03
pdbbind,5mrm,5.03
pdbbind,5n3y,5.03
pdbbind,1mfa,5.04
pdbbind,3tz0,5.04
pdbbind,4jym,5.04
pdbbind,4lk7,5.04
pdbbind,5d3n,5.04
pdbbind,5f25,5.04
pdbbind,5lyn,5.04
pdbbind,5ovp,5.04
pdbbind,6ajv,5.04
pdbbind,6j7e,5.04
pdbbind,1dgm,5.05
pdbbind,1fkw,5.05
pdbbind,1qxk,5.05
pdbbind,3aau,5.05
pdbbind,3s76,5.05
pdbbind,4euo,5.05
pdbbind,4oct,5.05
pdbbind,4rqv,5.05
pdbbind,4yzu,5.05
pdbbind,5i3a,5.05
pdbbind,6d50,5.05
pdbbind,6exi,5.05
pdbbind,6kjd,5.05
pdbbind,6mlg,5.05
pdbbind,2v77,5.06
pdbbind,2yge,5.06
pdbbind,3f68,5.06
pdbbind,4h7q,5.06
pdbbind,5a2i,5.06
pdbbind,5c1w,5.06
pdbbind,6qlo,5.06
pdbbind,2c3l,5.07
pdbbind,2xm1,5.07
pdbbind,2yfa,5.07
pdbbind,3juo,5.07
pdbbind,5hwv,5.07
pdbbind,5u12,5.07
pdbbind,6j9y,5.07
pdbbind,6jtc,5.07
pdbbind,6n0k,5.07
pdbbind,6qr1,5.07
pdbbind,6r4k,5.07
pdbbind,1enu,5.08
pdbbind,1gfy,5.08
pdbbind,2qtg,5.08
pdbbind,3tb6,5.08
pdbbind,4oiv,5.08
pdbbind,5n2t,5.08
pdbbind,6d16,5.08
pdbbind,1m48,5.09
pdbbind,1nw7,5.09
pdbbind,2ygf,5.09
pdbbind,5fhm,5.09
pdbbind,5o9p,5.09
pdbbind,6n3x,5.09
pdbbind,1ez9,5.10
pdbbind,1kmy,5.10
pdbbind,1od8,5.10
pdbbind,1onz,5.10
pdbbind,1v0k,5.10
pdbbind,1w7g,5.10
pdbbind,2r9w,5.10
pdbbind,3gy4,5.10
pdbbind,3p4v,5.10
pdbbind,4dcs,5.10
pdbbind,5d3h,5.10
pdbbind,6ce6,5.10
pdbbind,6md6,5.10
pdbbind,6s56,5.10
pdbbind,6s57,5.10
pdbbind,1k4h,5.11
pdbbind,1yp9,5.11
pdbbind,3k4d,5.11
pdbbind,3ozj,5.11
pdbbind,4qfl,5.11
pdbbind,5kej,5.11
pdbbind,5u0e,5.11
pdbbind,6jdi,5.11
pdbbind,1qaw,5.12
pdbbind,1uv6,5.12
pdbbind,2web,5.12
pdbbind,3zso,5.12
pdbbind,4f1l,5.12
pdbbind,4h81,5.12
pdbbind,5f74,5.12
pdbbind,6i13,5.12
pdbbind,6n95,5.12
pdbbind,6qe5,5.12
pdbbind,3s9e,5.13
pdbbind,5d3p,5.13
pdbbind,6f9u,5.13
pdbbind,6j9w,5.13
pdbbind,6st0,5.13
pdbbind,1y3x,5.14
pdbbind,2br1,5.14
pdbbind,2yaz,5.14
pdbbind,3tao,5.14
pdbbind,4ejl,5.14
pdbbind,5kva,5.14
pdbbind,6dak,5.14
pdbbind,1jcx,5.15
pdbbind,1jvu,5.15
pdbbind,1o0m,5.15
pdbbind,1pb8,5.15
pdbbind,1qk3,5.15
pdbbind,1s38,5.15
pdbbind,1thz,5.15
pdbbind,2afx,5.15
pdbbind,3ozr,5.15
pdbbind,4h85,5.15
pdbbind,4jpx,5.15
pdbbind,4qrh,5.15
pdbbind,6aro,5.15
pdbbind,6nu5,5.15
pdbbind,3b27,5.16
pdbbind,5ufc,5.16
pdbbind,6mjf,5.16
pdbbind,6om8,5.16
pdbbind,2zfp,5.17
pdbbind,3b7j,5.17
pdbbind,4gkm,5.17
pdbbind,5ahw,5.17
pdbbind,5aut,5.17
pdbbind,5ohy,5.17
pdbbind,6cbf,5.17
pdbbind,6g2f,5.17
pdbbind,6qqq,5.17
pdbbind,1ft7,5.18
pdbbind,3w37,5.18
pdbbind,4duh,5.18
pdbbind,4iif,5.18
pdbbind,4u73,5.18
pdbbind,1ocq,5.19
pdbbind,1ogg,5.19
pdbbind,1oxr,5.19
pdbbind,1rnt,5.19
pdbbind,2qdt,5.19
pdbbind,4ezz,5.19
pdbbind,5otz,5.19
pdbbind,6arn,5.19
pdbbind,3ov1,5.20
pdbbind,3uu1,5.20
pdbbind,4a6s,5.20
pdbbind,4ezr,5.20
pdbbind,1nw5,5.21
pdbbind,1o2r,5.21
pdbbind,4cwo,5.21
pdbbind,4few,5.21
pdbbind,4je8,5.21
pdbbind,4m0r,5.21
pdbbind,5o9q,5.21
pdbbind,5ty9,5.21
pdbbind,5zyg,5.21
pdbbind,6iht,5.21
pdbbind,6t1m,5.21
pdbbind,1bq4,5.22
pdbbind,1j17,5.22
pdbbind,1o5c,5.22
pdbbind,1ucn,5.22
pdbbind,1w4o,5.22
pdbbind,1zea,5.22
pdbbind,2gz2,5.22
pdbbind,2hxm,5.22
pdbbind,2wzm,5.22
pdbbind,2zxd,5.22
pdbbind,3dne,5.22
pdbbind,3iof,5.22
pdbbind,3lq2,5.22
pdbbind,3ms9,5.22
pdbbind,3n1c,5.22
pdbbind,3ppp,5.22
pdbbind,3q71,5.22
pdbbind,3qxt,5.22
pdbbind,4lrr,5.22
pdbbind,4u71,5.22
pdbbind,5ev8,5.22
pdbbind,5ja0,5.22
pdbbind,1b4z,5.23
pdbbind,1ndw,5.23
pdbbind,2q38,5.23
pdbbind,6bhv,5.23
pdbbind,6jam,5.23
pdbbind,6pu3,5.23
pdbbind,1fh7,5.24
pdbbind,1q8w,5.24
pdbbind,1s89,5.24
pdbbind,2jfz,5.24
pdbbind,3pb8,5.24
pdbbind,3ueu,5.24
pdbbind,4gue,5.24
pdbbind,4idn,5.24
pdbbind,4ih7,5.24
pdbbind,4non,5.24
pdbbind,4y59,5.24
pdbbind,4zv1,5.24
pdbbind,5d24,5.24
pdbbind,5d3j,5.24
pdbbind,5edd,5.24
pdbbind,5w1e,5.24
pdbbind,6gxg,5.24
pdbbind,2bfr,5.25
pdbbind,3r24,5.25
pdbbind,5b5f,5.25
pdbbind,5b5g,5.25
pdbbind,5twj,5.25
pdbbind,1w4q,5.26
pdbbind,3n9s,5.26
pdbbind,4omj,5.26
pdbbind,5gs9,5.26
pdbbind,6t1i,5.26
pdbbind,2x7u,5.27
pdbbind,3tkw,5.27
pdbbind,4jfs,5.27
pdbbind,5hwu,5.27
pdbbind,5irr,5.27
pdbbind,5ltn,5.27
pdbbind,1b46,5.28
pdbbind,1f5l,5.28
pdbbind,3bbf,5.28
pdbbind,3o5x,5.28
pdbbind,4e70,5.28
pdbbind,4j46,5.28
pdbbind,5ect,5.28
pdbbind,5g5f,5.28
pdbbind,5xpi,5.28
pdbbind,6ajy,5.28
pdbbind,6qlp,5.28
pdbbind,1c88,5.29
pdbbind,2wc4,5.29
pdbbind,5hrv,5.29
pdbbind,5hrx,5.29
pdbbind,1a69,5.30
pdbbind,1h6h,5.30
pdbbind,1o0f,5.30
pdbbind,1srg,5.30
pdbbind,2q7q,5.30
pdbbind,2vk6,5.30
pdbbind,3p9l,5.30
pdbbind,3pgl,5.30
pdbbind,3upv,5.30
pdbbind,5eyr,5.30
pdbbind,6d2o,5.30
pdbbind,6eeb,5.30
pdbbind,6ml9,5.30
pdbbind,6qqu,5.30
pdbbind,6r1w,5.30
pdbbind,1hk4,5.31
pdbbind,1mfd,5.31
pdbbind,4or6,5.31
pdbbind,4u1b,5.31
pdbbind,5eij,5.31
pdbbind,5n2z,5.31
pdbbind,1lvu,5.32
pdbbind,1y20,5.32
pdbbind,4ipi,5.32
pdbbind,4us3,5.32
pdbbind,5g1z,5.32
pdbbind,5n17,5.32
pdbbind,6g0z,5.32
pdbbind,6h1u,5.32
pdbbind,2c80,5.33
pdbbind,3arx,5.33
pdbbind,3ozs,5.33
pdbbind,3q1x,5.33
pdbbind,6u6w,5.33
pdbbind,1hee,5.34
pdbbind,1zgi,5.34
pdbbind,3hkq,5.34
pdbbind,3k4q,5.34
pdbbind,3nee,5.34
pdbbind,5l4m,5.34
pdbbind,5o9y,5.34
pdbbind,5u14,5.34
pdbbind,5wp5,5.34
pdbbind,1ql9,5.35
pdbbind,2fxv,5.35
pdbbind,2gkl,5.35
pdbbind,3hkn,5.35
pdbbind,5u11,5.35
pdbbind,6ep4,5.35
pdbbind,6of5,5.35
pdbbind,6pgc,5.35
pdbbind,6qls,5.35
pdbbind,1adl,5.36
pdbbind,3bv9,5.36
pdbbind,3ldq,5.36
pdbbind,3mf5,5.36
pdbbind,1gpk,5.37
pdbbind,1sgu,5.37
pdbbind,3qt6,5.37
pdbbind,6eyb,5.37
pdbbind,6n0j,5.37
pdbbind,1g3e,5.38
pdbbind,3tif,5.38
pdbbind,4f7v,5.38
pdbbind,5mek,5.38
pdbbind,6olx,5.38
pdbbind,1qbv,5.39
pdbbind,2h6b,5.39
pdbbind,3hkt,5.39
pdbbind,3m1k,5.39
pdbbind,4cl6,5.39
pdbbind,4ej8,5.39
pdbbind,5chk,5.39
pdbbind,5o9r,5.39
pdbbind,6ggb,5.39
pdbbind,6ggf,5.39
pdbbind,6ma2,5.39
pdbbind,1bp0,5.40
pdbbind,1f8b,5.40
pdbbind,1m7i,5.40
pdbbind,1mmr,5.40
pdbbind,1pz5,5.40
pdbbind,1r9l,5.40
pdbbind,1trd,5.40
pdbbind,2c1p,5.40
pdbbind,2f35,5.40
pdbbind,2i80,5.40
pdbbind,2jdm,5.40
pdbbind,2qg2,5.40
pdbbind,3b4p,5.40
pdbbind,4c5d,5.40
pdbbind,4ij1,5.40
pdbbind,4m3p,5.40
pdbbind,4ozj,5.40
pdbbind,4pin,5.40
pdbbind,5ep7,5.40
pdbbind,5eqp,5.40
pdbbind,5fns,5.40
pdbbind,5jsj,5.40
pdbbind,5l9o,5.40
pdbbind,5lsg,5.40
pdbbind,5mqe,5.40
pdbbind,5tef,5.40
pdbbind,6ny0,5.40
pdbbind,6r1d,5.40
pdbbind,2j47,5.41
pdbbind,4tun,5.41
pdbbind,4u6z,5.41
pdbbind,4uma,5.41
pdbbind,5cbs,5.41
pdbbind,5u13,5.41
pdbbind,6mm2,5.41
pdbbind,2vpo,5.42
pdbbind,4fev,5.42
pdbbind,4nxv,5.42
pdbbind,6hgg,5.42
pdbbind,3ng4,5.43
pdbbind,4f5y,5.43
pdbbind,4pox,5.43
pdbbind,1h0a,5.44
pdbbind,1syi,5.44
pdbbind,2q6f,5.44
pdbbind,2wr8,5.44
pdbbind,3lp7,5.44
pdbbind,3u10,5.44
pdbbind,4dju,5.44
pdbbind,5ave,5.44
pdbbind,5e3a,5.44
pdbbind,5tp0,5.44
pdbbind,6gnr,5.44
pdbbind,6n3y,5.44
pdbbind,6r1b,5.44
pdbbind,2iko,5.45
pdbbind,3mi3,5.45
pdbbind,1b4h,5.46
pdbbind,1q65,5.46
pdbbind,5mnr,5.46
pdbbind,5nka,5.46
pdbbind,5txy,5.46
pdbbind,6dzx,5.46
pdbbind,6ekq,5.46
pdbbind,6gdy,5.46
pdbbind,6nxz,5.46
pdbbind,6t1n,5.46
pdbbind,1g7f,5.47
pdbbind,1gi1,5.47
pdbbind,1xh5,5.47
pdbbind,2r0z,5.47
pdbbind,2xde,5.47
pdbbind,4n6g,5.47
pdbbind,4n7m,5.47
pdbbind,4qb3,5.47
pdbbind,5nn5,5.47
pdbbind,5u0f,5.47
pdbbind,6c7w,5.47
pdbbind,1g85,5.48
pdbbind,2cbv,5.48
pdbbind,2zkj,5.48
pdbbind,3bxe,5.48
pdbbind,3iw6,5.48
pdbbind,3zdv,5.48
pdbbind,4jfm,5.48
pdbbind,4kp8,5.48
pdbbind,4pf5,5.48
pdbbind,4uc5,5.48
pdbbind,5aqz,5.48
pdbbind,5hrw,5.48
pdbbind,6dd0,5.48
pdbbind,1pot,5.49
pdbbind,1pyn,5.49
pdbbind,2h4k,5.49
pdbbind,2o0u,5.49
pdbbind,2uy5,5.49
pdbbind,3bvb,5.49
pdbbind,3ga5,5.49
pdbbind,3hmp,5.49
pdbbind,3i73,5.49
pdbbind,4w9f,5.49
pdbbind,5avf,5.49
pdbbind,6g14,5.49
pdbbind,6qr2,5.49
pdbbind,3tza,5.50
pdbbind,3da9,5.51
pdbbind,3kgt,5.51
pdbbind,4k55,5.51
pdbbind,4qxo,5.51
pdbbind,4zba,5.51
pdbbind,4zgk,5.51
pdbbind,5cks,5.51
pdbbind,5oa6,5.51
pdbbind,6dgq,5.51
pdbbind,6gfz,5.51
pdbbind,1kc7,5.52
pdbbind,1oe8,5.52
pdbbind,1ydr,5.52
pdbbind,2cht,5.52
pdbbind,2ydt,5.52
pdbbind,3hzm,5.52
pdbbind,3iog,5.52
pdbbind,4en4,5.52
pdbbind,5f08,5.52
pdbbind,5j1x,5.52
pdbbind,5mrp,5.52
pdbbind,5nn6,5.52
pdbbind,6dgl,5.52
pdbbind,5dus,5.53
pdbbind,1bjv,5.54
pdbbind,2olb,5.54
pdbbind,2y7i,5.54
pdbbind,3bxf,5.54
pdbbind,3jyr,5.54
pdbbind,3ubd,5.54
pdbbind,3v78,5.54
pdbbind,4nxu,5.54
pdbbind,4qij,5.54
pdbbind,4r4c,5.54
pdbbind,5a81,5.54
pdbbind,1g3d,5.55
pdbbind,1njc,5.55
pdbbind,1y3n,5.55
pdbbind,2iuz,5.55
pdbbind,3uzj,5.55
pdbbind,4pqa,5.55
pdbbind,5gja,5.55
pdbbind,5vd3,5.55
pdbbind,6bs4,5.55
pdbbind,6ouv,5.55
pdbbind,4o3f,5.56
pdbbind,6mxc,5.56
pdbbind,1jak,5.57
pdbbind,1njd,5.57
pdbbind,2nmx,5.57
pdbbind,3bex,5.57
pdbbind,3coz,5.57
pdbbind,3uxl,5.57
pdbbind,3vtr,5.57
pdbbind,6i12,5.57
pdbbind,3jup,5.58
pdbbind,3su5,5.58
pdbbind,1f4x,5.59
pdbbind,1fo0,5.59
pdbbind,1mfi,5.59
pdbbind,3sha,5.59
pdbbind,4bqh,5.59
pdbbind,4cwn,5.59
pdbbind,4tkb,5.59
pdbbind,5afv,5.59
pdbbind,5n9r,5.59
pdbbind,5t9w,5.59
pdbbind,6fnr,5.59
pdbbind,6t1o,5.59
pdbbind,1vfn,5.60
pdbbind,2wca,5.60
pdbbind,2yhw,5.60
pdbbind,3bl1,5.60
pdbbind,3e6y,5.60
pdbbind,3qps,5.60
pdbbind,4zzy,5.60
pdbbind,6h1d,5.60
pdbbind,3u5j,5.61
pdbbind,6n3v,5.61
pdbbind,1ejn,5.62
pdbbind,2bmk,5.62
pdbbind,3e3c,5.62
pdbbind,3ip9,5.62
pdbbind,3ldp,5.62
