name,partition,set,error
4o61,docking,pdbbind,4o61 does not contain any pose data
4o61,crystal,pdbbind,no ligand for 4o61 (pdbbind set)
4zme,docking,pdbbind,4zme does not contain any pose data
4zme,crystal,pdbbind,no ligand for 4zme (pdbbind set)
5ewy,docking,pdbbind,5ewy does not contain any pose data
5ewy,crystal,pdbbind,no ligand for 5ewy (pdbbind set)
5jgi,docking,pdbbind,5jgi does not contain any pose data
5jgi,crystal,pdbbind,no ligand for 5jgi (pdbbind set)
6fuj,docking,pdbbind,6fuj does not contain any pose data
6fuj,crystal,pdbbind,no ligand for 6fuj (pdbbind set)
6q4g,docking,pdbbind,6q4g does not contain any pose data
6q4g,crystal,pdbbind,no ligand for 6q4g (pdbbind set)
1ajq,docking,pdbbind,1ajq does not contain any pose data
1ajq,crystal,pdbbind,no ligand for 1ajq (pdbbind set)
2tpi,docking,pdbbind,2tpi does not contain any pose data
2tpi,crystal,pdbbind,no ligand for 2tpi (pdbbind set)
4kow,docking,pdbbind,4kow does not contain any pose data
4kow,crystal,pdbbind,no ligand for 4kow (pdbbind set)
6ajr,docking,pdbbind,6ajr does not contain any pose data
6ajr,crystal,pdbbind,no ligand for 6ajr (pdbbind set)
6f20,docking,pdbbind,6f20 does not contain any pose data
6f20,crystal,pdbbind,no ligand for 6f20 (pdbbind set)
6ior,docking,pdbbind,6ior does not contain any pose data
6ior,crystal,pdbbind,no ligand for 6ior (pdbbind set)
2ha6,docking,pdbbind,2ha6 does not contain any pose data
2ha6,crystal,pdbbind,no ligand for 2ha6 (pdbbind set)
2qtt,docking,pdbbind,2qtt does not contain any pose data
2qtt,crystal,pdbbind,no ligand for 2qtt (pdbbind set)
4q7p,docking,pdbbind,4q7p does not contain any pose data
4q7p,crystal,pdbbind,no ligand for 4q7p (pdbbind set)
4rsk,docking,pdbbind,4rsk does not contain any pose data
4rsk,crystal,pdbbind,no ligand for 4rsk (pdbbind set)
4u43,docking,pdbbind,4u43 does not contain any pose data
4u43,crystal,pdbbind,no ligand for 4u43 (pdbbind set)
4ucc,docking,pdbbind,4ucc does not contain any pose data
4ucc,crystal,pdbbind,no ligand for 4ucc (pdbbind set)
5m28,docking,pdbbind,5m28 does not contain any pose data
5m28,crystal,pdbbind,no ligand for 5m28 (pdbbind set)
6jad,docking,pdbbind,6jad does not contain any pose data
6jad,crystal,pdbbind,no ligand for 6jad (pdbbind set)
1olx,docking,pdbbind,1olx does not contain any pose data
1olx,crystal,pdbbind,no ligand for 1olx (pdbbind set)
4ibj,docking,pdbbind,4ibj does not contain any pose data
4ibj,crystal,pdbbind,no ligand for 4ibj (pdbbind set)
4zcs,docking,pdbbind,4zcs does not contain any pose data
4zcs,crystal,pdbbind,no ligand for 4zcs (pdbbind set)
6czb,docking,pdbbind,6czb does not contain any pose data
6czb,crystal,pdbbind,no ligand for 6czb (pdbbind set)
6exj,docking,pdbbind,6exj does not contain any pose data
6exj,crystal,pdbbind,no ligand for 6exj (pdbbind set)
6g29,docking,pdbbind,6g29 does not contain any pose data
6g29,crystal,pdbbind,no ligand for 6g29 (pdbbind set)
1e3v,docking,pdbbind,1e3v does not contain any pose data
1e3v,crystal,pdbbind,no ligand for 1e3v (pdbbind set)
1z6s,docking,pdbbind,1z6s does not contain any pose data
1z6s,crystal,pdbbind,no ligand for 1z6s (pdbbind set)
5n3v,docking,pdbbind,5n3v does not contain any pose data
5n3v,crystal,pdbbind,no ligand for 5n3v (pdbbind set)
6ajz,docking,pdbbind,6ajz does not contain any pose data
6ajz,crystal,pdbbind,no ligand for 6ajz (pdbbind set)
1ghv,docking,pdbbind,1ghv does not contain any pose data
1ghv,crystal,pdbbind,no ligand for 1ghv (pdbbind set)
1sv3,docking,pdbbind,1sv3 does not contain any pose data
1sv3,crystal,pdbbind,no ligand for 1sv3 (pdbbind set)
1yfz,docking,pdbbind,1yfz does not contain any pose data
1yfz,crystal,pdbbind,no ligand for 1yfz (pdbbind set)
4owv,docking,pdbbind,4owv does not contain any pose data
4owv,crystal,pdbbind,no ligand for 4owv (pdbbind set)
5ka7,docking,pdbbind,5ka7 does not contain any pose data
5ka7,crystal,pdbbind,no ligand for 5ka7 (pdbbind set)
6d1a,docking,pdbbind,6d1a does not contain any pose data
6d1a,crystal,pdbbind,no ligand for 6d1a (pdbbind set)
6r1a,docking,pdbbind,6r1a does not contain any pose data
6r1a,crystal,pdbbind,no ligand for 6r1a (pdbbind set)
1dy4,docking,pdbbind,1dy4 does not contain any pose data
1dy4,crystal,pdbbind,no ligand for 1dy4 (pdbbind set)
2ez7,docking,pdbbind,2ez7 does not contain any pose data
2ez7,crystal,pdbbind,no ligand for 2ez7 (pdbbind set)
4nbn,docking,pdbbind,4nbn does not contain any pose data
4nbn,crystal,pdbbind,no ligand for 4nbn (pdbbind set)
1td7,docking,pdbbind,1td7 does not contain any pose data
1td7,crystal,pdbbind,no ligand for 1td7 (pdbbind set)
4gu9,docking,pdbbind,4gu9 does not contain any pose data
4gu9,crystal,pdbbind,no ligand for 4gu9 (pdbbind set)
5oh7,docking,pdbbind,5oh7 does not contain any pose data
5oh7,crystal,pdbbind,no ligand for 5oh7 (pdbbind set)
6qi4,docking,pdbbind,6qi4 does not contain any pose data
6qi4,crystal,pdbbind,no ligand for 6qi4 (pdbbind set)
1bhf,docking,pdbbind,1bhf does not contain any pose data
1bhf,crystal,pdbbind,no ligand for 1bhf (pdbbind set)
3b24,docking,pdbbind,3b24 does not contain any pose data
3b24,crystal,pdbbind,no ligand for 3b24 (pdbbind set)
3u9q,docking,pdbbind,3u9q does not contain any pose data
3u9q,crystal,pdbbind,no ligand for 3u9q (pdbbind set)
6hgj,docking,pdbbind,6hgj does not contain any pose data
6hgj,crystal,pdbbind,no ligand for 6hgj (pdbbind set)
6mla,docking,pdbbind,6mla does not contain any pose data
6mla,crystal,pdbbind,no ligand for 6mla (pdbbind set)
6o5u,docking,pdbbind,6o5u does not contain any pose data
6o5u,crystal,pdbbind,no ligand for 6o5u (pdbbind set)
2avq,docking,pdbbind,2avq does not contain any pose data
2avq,crystal,pdbbind,no ligand for 2avq (pdbbind set)
2hjb,docking,pdbbind,2hjb does not contain any pose data
2hjb,crystal,pdbbind,no ligand for 2hjb (pdbbind set)
3djo,docking,pdbbind,3djo does not contain any pose data
3djo,crystal,pdbbind,no ligand for 3djo (pdbbind set)
4zt8,docking,pdbbind,4zt8 does not contain any pose data
4zt8,crystal,pdbbind,no ligand for 4zt8 (pdbbind set)
5orh,docking,pdbbind,5orh does not contain any pose data
5orh,crystal,pdbbind,no ligand for 5orh (pdbbind set)
5zni,docking,pdbbind,5zni does not contain any pose data
5zni,crystal,pdbbind,no ligand for 5zni (pdbbind set)
1p57,docking,pdbbind,1p57 does not contain any pose data
1p57,crystal,pdbbind,no ligand for 1p57 (pdbbind set)
2pwd,docking,pdbbind,2pwd does not contain any pose data
2pwd,crystal,pdbbind,no ligand for 2pwd (pdbbind set)
3wgg,docking,pdbbind,3wgg does not contain any pose data
3wgg,crystal,pdbbind,no ligand for 3wgg (pdbbind set)
4abd,docking,pdbbind,4abd does not contain any pose data
4abd,crystal,pdbbind,no ligand for 4abd (pdbbind set)
4dy6,docking,pdbbind,4dy6 does not contain any pose data
4dy6,crystal,pdbbind,no ligand for 4dy6 (pdbbind set)
4omk,docking,pdbbind,4omk does not contain any pose data
4omk,crystal,pdbbind,no ligand for 4omk (pdbbind set)
4pp0,docking,pdbbind,4pp0 does not contain any pose data
4pp0,crystal,pdbbind,no ligand for 4pp0 (pdbbind set)
5uv2,docking,pdbbind,5uv2 does not contain any pose data
5uv2,crystal,pdbbind,no ligand for 5uv2 (pdbbind set)
1no6,docking,pdbbind,1no6 does not contain any pose data
1no6,crystal,pdbbind,no ligand for 1no6 (pdbbind set)
1olu,docking,pdbbind,1olu does not contain any pose data
1olu,crystal,pdbbind,no ligand for 1olu (pdbbind set)
2csn,docking,pdbbind,2csn does not contain any pose data
2csn,crystal,pdbbind,no ligand for 2csn (pdbbind set)
3rsx,docking,pdbbind,3rsx does not contain any pose data
3rsx,crystal,pdbbind,no ligand for 3rsx (pdbbind set)
3uxd,docking,pdbbind,3uxd does not contain any pose data
3uxd,crystal,pdbbind,no ligand for 3uxd (pdbbind set)
4exs,docking,pdbbind,4exs does not contain any pose data
4exs,crystal,pdbbind,no ligand for 4exs (pdbbind set)
4ou3,docking,pdbbind,4ou3 does not contain any pose data
4ou3,crystal,pdbbind,no ligand for 4ou3 (pdbbind set)
5e74,docking,pdbbind,5e74 does not contain any pose data
5e74,crystal,pdbbind,no ligand for 5e74 (pdbbind set)
5ka9,docking,pdbbind,5ka9 does not contain any pose data
5ka9,crystal,pdbbind,no ligand for 5ka9 (pdbbind set)
1tjp,docking,pdbbind,1tjp does not contain any pose data
1tjp,crystal,pdbbind,no ligand for 1tjp (pdbbind set)
3dri,docking,pdbbind,3dri does not contain any pose data
3dri,crystal,pdbbind,no ligand for 3dri (pdbbind set)
4cc5,docking,pdbbind,4cc5 does not contain any pose data
4cc5,crystal,pdbbind,no ligand for 4cc5 (pdbbind set)
4ek9,docking,pdbbind,4ek9 does not contain any pose data
4ek9,crystal,pdbbind,no ligand for 4ek9 (pdbbind set)
4q7s,docking,pdbbind,4q7s does not contain any pose data
4q7s,crystal,pdbbind,no ligand for 4q7s (pdbbind set)
6h8s,docking,pdbbind,6h8s does not contain any pose data
6h8s,crystal,pdbbind,no ligand for 6h8s (pdbbind set)
2pu2,docking,pdbbind,2pu2 does not contain any pose data
2pu2,crystal,pdbbind,no ligand for 2pu2 (pdbbind set)
2we3,docking,pdbbind,2we3 does not contain any pose data
2we3,crystal,pdbbind,no ligand for 2we3 (pdbbind set)
2wyf,docking,pdbbind,2wyf does not contain any pose data
2wyf,crystal,pdbbind,no ligand for 2wyf (pdbbind set)
3kqr,docking,pdbbind,3kqr does not contain any pose data
3kqr,crystal,pdbbind,no ligand for 3kqr (pdbbind set)
4axd,docking,pdbbind,4axd does not contain any pose data
4axd,crystal,pdbbind,no ligand for 4axd (pdbbind set)
4dsy,docking,pdbbind,4dsy does not contain any pose data
4dsy,crystal,pdbbind,no ligand for 4dsy (pdbbind set)
4ibf,docking,pdbbind,4ibf does not contain any pose data
4ibf,crystal,pdbbind,no ligand for 4ibf (pdbbind set)
4jpy,docking,pdbbind,4jpy does not contain any pose data
4jpy,crystal,pdbbind,no ligand for 4jpy (pdbbind set)
4kcx,docking,pdbbind,4kcx does not contain any pose data
4kcx,crystal,pdbbind,no ligand for 4kcx (pdbbind set)
4qf9,docking,pdbbind,4qf9 does not contain any pose data
4qf9,crystal,pdbbind,no ligand for 4qf9 (pdbbind set)
4ykj,docking,pdbbind,4ykj does not contain any pose data
4ykj,crystal,pdbbind,no ligand for 4ykj (pdbbind set)
4zw5,docking,pdbbind,4zw5 does not contain any pose data
4zw5,crystal,pdbbind,no ligand for 4zw5 (pdbbind set)
5f2p,docking,pdbbind,5f2p does not contain any pose data
5f2p,crystal,pdbbind,no ligand for 5f2p (pdbbind set)
5g4o,docking,pdbbind,5g4o does not contain any pose data
5g4o,crystal,pdbbind,no ligand for 5g4o (pdbbind set)
5h5f,docking,pdbbind,5h5f does not contain any pose data
5h5f,crystal,pdbbind,no ligand for 5h5f (pdbbind set)
5kad,docking,pdbbind,5kad does not contain any pose data
5kad,crystal,pdbbind,no ligand for 5kad (pdbbind set)
2amt,docking,pdbbind,2amt does not contain any pose data
2amt,crystal,pdbbind,no ligand for 2amt (pdbbind set)
3u81,docking,pdbbind,3u81 does not contain any pose data
3u81,crystal,pdbbind,no ligand for 3u81 (pdbbind set)
5azf,docking,pdbbind,5azf does not contain any pose data
5azf,crystal,pdbbind,no ligand for 5azf (pdbbind set)
5d6j,docking,pdbbind,5d6j does not contain any pose data
5d6j,crystal,pdbbind,no ligand for 5d6j (pdbbind set)
6np4,docking,pdbbind,6np4 does not contain any pose data
6np4,crystal,pdbbind,no ligand for 6np4 (pdbbind set)
6ppy,docking,pdbbind,6ppy does not contain any pose data
6ppy,crystal,pdbbind,no ligand for 6ppy (pdbbind set)
2wbg,docking,pdbbind,2wbg does not contain any pose data
2wbg,crystal,pdbbind,no ligand for 2wbg (pdbbind set)
6q3q,docking,pdbbind,6q3q does not contain any pose data
6q3q,crystal,pdbbind,no ligand for 6q3q (pdbbind set)
4gki,docking,pdbbind,4gki does not contain any pose data
4gki,crystal,pdbbind,no ligand for 4gki (pdbbind set)
4i8n,docking,pdbbind,4i8n does not contain any pose data
4i8n,crystal,pdbbind,no ligand for 4i8n (pdbbind set)
5c3p,docking,pdbbind,5c3p does not contain any pose data
5c3p,crystal,pdbbind,no ligand for 5c3p (pdbbind set)
5dpx,docking,pdbbind,5dpx does not contain any pose data
5dpx,crystal,pdbbind,no ligand for 5dpx (pdbbind set)
5jox,docking,pdbbind,5jox does not contain any pose data
5jox,crystal,pdbbind,no ligand for 5jox (pdbbind set)
6fui,docking,pdbbind,6fui does not contain any pose data
6fui,crystal,pdbbind,no ligand for 6fui (pdbbind set)
2r2w,docking,pdbbind,2r2w does not contain any pose data
2r2w,crystal,pdbbind,no ligand for 2r2w (pdbbind set)
3hl5,docking,pdbbind,3hl5 does not contain any pose data
3hl5,crystal,pdbbind,no ligand for 3hl5 (pdbbind set)
4cu8,docking,pdbbind,4cu8 does not contain any pose data
4cu8,crystal,pdbbind,no ligand for 4cu8 (pdbbind set)
6d1d,docking,pdbbind,6d1d does not contain any pose data
6d1d,crystal,pdbbind,no ligand for 6d1d (pdbbind set)
6d1g,docking,pdbbind,6d1g does not contain any pose data
6d1g,crystal,pdbbind,no ligand for 6d1g (pdbbind set)
6f05,docking,pdbbind,6f05 does not contain any pose data
6f05,crystal,pdbbind,no ligand for 6f05 (pdbbind set)
1jaq,docking,pdbbind,1jaq does not contain any pose data
1jaq,crystal,pdbbind,no ligand for 1jaq (pdbbind set)
1qan,docking,pdbbind,1qan does not contain any pose data
1qan,crystal,pdbbind,no ligand for 1qan (pdbbind set)
2ogy,docking,pdbbind,2ogy does not contain any pose data
2ogy,crystal,pdbbind,no ligand for 2ogy (pdbbind set)
3p17,docking,pdbbind,3p17 does not contain any pose data
3p17,crystal,pdbbind,no ligand for 3p17 (pdbbind set)
3t01,docking,pdbbind,3t01 does not contain any pose data
3t01,crystal,pdbbind,no ligand for 3t01 (pdbbind set)
4dhl,docking,pdbbind,4dhl does not contain any pose data
4dhl,crystal,pdbbind,no ligand for 4dhl (pdbbind set)
4oks,docking,pdbbind,4oks does not contain any pose data
4oks,crystal,pdbbind,no ligand for 4oks (pdbbind set)
5ka1,docking,pdbbind,5ka1 does not contain any pose data
5ka1,crystal,pdbbind,no ligand for 5ka1 (pdbbind set)
5ovv,docking,pdbbind,5ovv does not contain any pose data
5ovv,crystal,pdbbind,no ligand for 5ovv (pdbbind set)
5tya,docking,pdbbind,5tya does not contain any pose data
5tya,crystal,pdbbind,no ligand for 5tya (pdbbind set)
6d15,docking,pdbbind,6d15 does not contain any pose data
6d15,crystal,pdbbind,no ligand for 6d15 (pdbbind set)
1hi4,docking,pdbbind,1hi4 does not contain any pose data
1hi4,crystal,pdbbind,no ligand for 1hi4 (pdbbind set)
1j14,docking,pdbbind,1j14 does not contain any pose data
1j14,crystal,pdbbind,no ligand for 1j14 (pdbbind set)
1o7o,docking,pdbbind,1o7o does not contain any pose data
1o7o,crystal,pdbbind,no ligand for 1o7o (pdbbind set)
3hl8,docking,pdbbind,3hl8 does not contain any pose data
3hl8,crystal,pdbbind,no ligand for 3hl8 (pdbbind set)
3kmy,docking,pdbbind,3kmy does not contain any pose data
3kmy,crystal,pdbbind,no ligand for 3kmy (pdbbind set)
4cwf,docking,pdbbind,4cwf does not contain any pose data
4cwf,crystal,pdbbind,no ligand for 4cwf (pdbbind set)
5isz,docking,pdbbind,5isz does not contain any pose data
5isz,crystal,pdbbind,no ligand for 5isz (pdbbind set)
5t19,docking,pdbbind,5t19 does not contain any pose data
5t19,crystal,pdbbind,no ligand for 5t19 (pdbbind set)
6b7a,docking,pdbbind,6b7a does not contain any pose data
6b7a,crystal,pdbbind,no ligand for 6b7a (pdbbind set)
3sw8,docking,pdbbind,3sw8 does not contain any pose data
3sw8,crystal,pdbbind,no ligand for 3sw8 (pdbbind set)
5ovx,docking,pdbbind,5ovx does not contain any pose data
5ovx,crystal,pdbbind,no ligand for 5ovx (pdbbind set)
5yl2,docking,pdbbind,5yl2 does not contain any pose data
5yl2,crystal,pdbbind,no ligand for 5yl2 (pdbbind set)
6jag,docking,pdbbind,6jag does not contain any pose data
6jag,crystal,pdbbind,no ligand for 6jag (pdbbind set)
1gi7,docking,pdbbind,1gi7 does not contain any pose data
1gi7,crystal,pdbbind,no ligand for 1gi7 (pdbbind set)
2r1y,docking,pdbbind,2r1y does not contain any pose data
2r1y,crystal,pdbbind,no ligand for 2r1y (pdbbind set)
3aas,docking,pdbbind,3aas does not contain any pose data
3aas,crystal,pdbbind,no ligand for 3aas (pdbbind set)
3uug,docking,pdbbind,3uug does not contain any pose data
3uug,crystal,pdbbind,no ligand for 3uug (pdbbind set)
4abb,docking,pdbbind,4abb does not contain any pose data
4abb,crystal,pdbbind,no ligand for 4abb (pdbbind set)
4g90,docking,pdbbind,4g90 does not contain any pose data
4g90,crystal,pdbbind,no ligand for 4g90 (pdbbind set)
6nu1,docking,pdbbind,6nu1 does not contain any pose data
6nu1,crystal,pdbbind,no ligand for 6nu1 (pdbbind set)
6qlq,docking,pdbbind,6qlq does not contain any pose data
6qlq,crystal,pdbbind,no ligand for 6qlq (pdbbind set)
1ctt,docking,pdbbind,1ctt does not contain any pose data
1ctt,crystal,pdbbind,no ligand for 1ctt (pdbbind set)
1mrn,docking,pdbbind,1mrn does not contain any pose data
1mrn,crystal,pdbbind,no ligand for 1mrn (pdbbind set)
1z4o,docking,pdbbind,1z4o does not contain any pose data
1z4o,crystal,pdbbind,no ligand for 1z4o (pdbbind set)
2a4m,docking,pdbbind,2a4m does not contain any pose data
2a4m,crystal,pdbbind,no ligand for 2a4m (pdbbind set)
2ra6,docking,pdbbind,2ra6 does not contain any pose data
2ra6,crystal,pdbbind,no ligand for 2ra6 (pdbbind set)
2wm0,docking,pdbbind,2wm0 does not contain any pose data
2wm0,crystal,pdbbind,no ligand for 2wm0 (pdbbind set)
3bzf,docking,pdbbind,3bzf does not contain any pose data
3bzf,crystal,pdbbind,no ligand for 3bzf (pdbbind set)
3gy7,docking,pdbbind,3gy7 does not contain any pose data
3gy7,crystal,pdbbind,no ligand for 3gy7 (pdbbind set)
3r6u,docking,pdbbind,3r6u does not contain any pose data
3r6u,crystal,pdbbind,no ligand for 3r6u (pdbbind set)
4gzw,docking,pdbbind,4gzw does not contain any pose data
4gzw,crystal,pdbbind,no ligand for 4gzw (pdbbind set)
4trc,docking,pdbbind,4trc does not contain any pose data
4trc,crystal,pdbbind,no ligand for 4trc (pdbbind set)
5o1f,docking,pdbbind,5o1f does not contain any pose data
5o1f,crystal,pdbbind,no ligand for 5o1f (pdbbind set)
5vh0,docking,pdbbind,5vh0 does not contain any pose data
5vh0,crystal,pdbbind,no ligand for 5vh0 (pdbbind set)
6nco,docking,pdbbind,6nco does not contain any pose data
6nco,crystal,pdbbind,no ligand for 6nco (pdbbind set)
6p88,docking,pdbbind,6p88 does not contain any pose data
6p88,crystal,pdbbind,no ligand for 6p88 (pdbbind set)
3h30,docking,pdbbind,3h30 does not contain any pose data
3h30,crystal,pdbbind,no ligand for 3h30 (pdbbind set)
6i11,docking,pdbbind,6i11 does not contain any pose data
6i11,crystal,pdbbind,no ligand for 6i11 (pdbbind set)
1amw,docking,pdbbind,1amw does not contain any pose data
1amw,crystal,pdbbind,no ligand for 1amw (pdbbind set)
1b2h,docking,pdbbind,1b2h does not contain any pose data
1b2h,crystal,pdbbind,no ligand for 1b2h (pdbbind set)
1lyx,docking,pdbbind,1lyx does not contain any pose data
1lyx,crystal,pdbbind,no ligand for 1lyx (pdbbind set)
1szd,docking,pdbbind,1szd does not contain any pose data
1szd,crystal,pdbbind,no ligand for 1szd (pdbbind set)
2zz1,docking,pdbbind,2zz1 does not contain any pose data
2zz1,crystal,pdbbind,no ligand for 2zz1 (pdbbind set)
2zz2,docking,pdbbind,2zz2 does not contain any pose data
2zz2,crystal,pdbbind,no ligand for 2zz2 (pdbbind set)
3iub,docking,pdbbind,3iub does not contain any pose data
3iub,crystal,pdbbind,no ligand for 3iub (pdbbind set)
4b76,docking,pdbbind,4b76 does not contain any pose data
4b76,crystal,pdbbind,no ligand for 4b76 (pdbbind set)
5etb,docking,pdbbind,5etb does not contain any pose data
5etb,crystal,pdbbind,no ligand for 5etb (pdbbind set)
5u0d,docking,pdbbind,5u0d does not contain any pose data
5u0d,crystal,pdbbind,no ligand for 5u0d (pdbbind set)
6p5o,docking,pdbbind,6p5o does not contain any pose data
6p5o,crystal,pdbbind,no ligand for 6p5o (pdbbind set)
6pga,docking,pdbbind,6pga does not contain any pose data
6pga,crystal,pdbbind,no ligand for 6pga (pdbbind set)
6pid,docking,pdbbind,6pid does not contain any pose data
6pid,crystal,pdbbind,no ligand for 6pid (pdbbind set)
3b2q,docking,pdbbind,3b2q does not contain any pose data
3b2q,crystal,pdbbind,no ligand for 3b2q (pdbbind set)
3djv,docking,pdbbind,3djv does not contain any pose data
3djv,crystal,pdbbind,no ligand for 3djv (pdbbind set)
3p8p,docking,pdbbind,3p8p does not contain any pose data
3p8p,crystal,pdbbind,no ligand for 3p8p (pdbbind set)
3ppq,docking,pdbbind,3ppq does not contain any pose data
3ppq,crystal,pdbbind,no ligand for 3ppq (pdbbind set)
3rr4,docking,pdbbind,3rr4 does not contain any pose data
3rr4,crystal,pdbbind,no ligand for 3rr4 (pdbbind set)
3suv,docking,pdbbind,3suv does not contain any pose data
3suv,crystal,pdbbind,no ligand for 3suv (pdbbind set)
4myd,docking,pdbbind,4myd does not contain any pose data
4myd,crystal,pdbbind,no ligand for 4myd (pdbbind set)
5c2o,docking,pdbbind,5c2o does not contain any pose data
5c2o,crystal,pdbbind,no ligand for 5c2o (pdbbind set)
5oh4,docking,pdbbind,5oh4 does not contain any pose data
5oh4,crystal,pdbbind,no ligand for 5oh4 (pdbbind set)
5oss,docking,pdbbind,5oss does not contain any pose data
5oss,crystal,pdbbind,no ligand for 5oss (pdbbind set)
6edr,docking,pdbbind,6edr does not contain any pose data
6edr,crystal,pdbbind,no ligand for 6edr (pdbbind set)
6gnp,docking,pdbbind,6gnp does not contain any pose data
6gnp,crystal,pdbbind,no ligand for 6gnp (pdbbind set)
4x3k,docking,pdbbind,4x3k does not contain any pose data
4x3k,crystal,pdbbind,no ligand for 4x3k (pdbbind set)
5ost,docking,pdbbind,5ost does not contain any pose data
5ost,crystal,pdbbind,no ligand for 5ost (pdbbind set)
4fp1,docking,pdbbind,4fp1 does not contain any pose data
4fp1,crystal,pdbbind,no ligand for 4fp1 (pdbbind set)
4or4,docking,pdbbind,4or4 does not contain any pose data
4or4,crystal,pdbbind,no ligand for 4or4 (pdbbind set)
4yrd,docking,pdbbind,4yrd does not contain any pose data
4yrd,crystal,pdbbind,no ligand for 4yrd (pdbbind set)
5ko5,docking,pdbbind,5ko5 does not contain any pose data
5ko5,crystal,pdbbind,no ligand for 5ko5 (pdbbind set)
5ovr,docking,pdbbind,5ovr does not contain any pose data
5ovr,crystal,pdbbind,no ligand for 5ovr (pdbbind set)
6np5,docking,pdbbind,6np5 does not contain any pose data
6np5,crystal,pdbbind,no ligand for 6np5 (pdbbind set)
4bi7,docking,pdbbind,4bi7 does not contain any pose data
4bi7,crystal,pdbbind,no ligand for 4bi7 (pdbbind set)
5j7q,docking,pdbbind,5j7q does not contain any pose data
5j7q,crystal,pdbbind,no ligand for 5j7q (pdbbind set)
5u0g,docking,pdbbind,5u0g does not contain any pose data
5u0g,crystal,pdbbind,no ligand for 5u0g (pdbbind set)
1bma,docking,pdbbind,1bma does not contain any pose data
1bma,crystal,pdbbind,no ligand for 1bma (pdbbind set)
2ihj,docking,pdbbind,2ihj does not contain any pose data
2ihj,crystal,pdbbind,no ligand for 2ihj (pdbbind set)
2jiw,docking,pdbbind,2jiw does not contain any pose data
2jiw,crystal,pdbbind,no ligand for 2jiw (pdbbind set)
3hp9,docking,pdbbind,3hp9 does not contain any pose data
3hp9,crystal,pdbbind,no ligand for 3hp9 (pdbbind set)
3ujc,docking,pdbbind,3ujc does not contain any pose data
3ujc,crystal,pdbbind,no ligand for 3ujc (pdbbind set)
4c6u,docking,pdbbind,4c6u does not contain any pose data
4c6u,crystal,pdbbind,no ligand for 4c6u (pdbbind set)
4g8y,docking,pdbbind,4g8y does not contain any pose data
4g8y,crystal,pdbbind,no ligand for 4g8y (pdbbind set)
5k9w,docking,pdbbind,5k9w does not contain any pose data
5k9w,crystal,pdbbind,no ligand for 5k9w (pdbbind set)
6fnq,docking,pdbbind,6fnq does not contain any pose data
6fnq,crystal,pdbbind,no ligand for 6fnq (pdbbind set)
1pa9,docking,pdbbind,1pa9 does not contain any pose data
1pa9,crystal,pdbbind,no ligand for 1pa9 (pdbbind set)
1tx7,docking,pdbbind,1tx7 does not contain any pose data
1tx7,crystal,pdbbind,no ligand for 1tx7 (pdbbind set)
1u33,docking,pdbbind,1u33 does not contain any pose data
1u33,crystal,pdbbind,no ligand for 1u33 (pdbbind set)
1upf,docking,pdbbind,1upf does not contain any pose data
1upf,crystal,pdbbind,no ligand for 1upf (pdbbind set)
2pyy,docking,pdbbind,2pyy does not contain any pose data
2pyy,crystal,pdbbind,no ligand for 2pyy (pdbbind set)
2v54,docking,pdbbind,2v54 does not contain any pose data
2v54,crystal,pdbbind,no ligand for 2v54 (pdbbind set)
2vb8,docking,pdbbind,2vb8 does not contain any pose data
2vb8,crystal,pdbbind,no ligand for 2vb8 (pdbbind set)
2vba,docking,pdbbind,2vba does not contain any pose data
2vba,crystal,pdbbind,no ligand for 2vba (pdbbind set)
2wlz,docking,pdbbind,2wlz does not contain any pose data
2wlz,crystal,pdbbind,no ligand for 2wlz (pdbbind set)
2x0y,docking,pdbbind,2x0y does not contain any pose data
2x0y,crystal,pdbbind,no ligand for 2x0y (pdbbind set)
3d7k,docking,pdbbind,3d7k does not contain any pose data
3d7k,crystal,pdbbind,no ligand for 3d7k (pdbbind set)
3vhk,docking,pdbbind,3vhk does not contain any pose data
3vhk,crystal,pdbbind,no ligand for 3vhk (pdbbind set)
4bc5,docking,pdbbind,4bc5 does not contain any pose data
4bc5,crystal,pdbbind,no ligand for 4bc5 (pdbbind set)
4jal,docking,pdbbind,4jal does not contain any pose data
4jal,crystal,pdbbind,no ligand for 4jal (pdbbind set)
4p58,docking,pdbbind,4p58 does not contain any pose data
4p58,crystal,pdbbind,no ligand for 4p58 (pdbbind set)
6n5x,docking,pdbbind,6n5x does not contain any pose data
6n5x,crystal,pdbbind,no ligand for 6n5x (pdbbind set)
6p87,docking,pdbbind,6p87 does not contain any pose data
6p87,crystal,pdbbind,no ligand for 6p87 (pdbbind set)
6pgb,docking,pdbbind,6pgb does not contain any pose data
6pgb,crystal,pdbbind,no ligand for 6pgb (pdbbind set)
6qe0,docking,pdbbind,6qe0 does not contain any pose data
6qe0,crystal,pdbbind,no ligand for 6qe0 (pdbbind set)
2bo4,docking,pdbbind,2bo4 does not contain any pose data
2bo4,crystal,pdbbind,no ligand for 2bo4 (pdbbind set)
3lgs,docking,pdbbind,3lgs does not contain any pose data
3lgs,crystal,pdbbind,no ligand for 3lgs (pdbbind set)
4io4,docking,pdbbind,4io4 does not contain any pose data
4io4,crystal,pdbbind,no ligand for 4io4 (pdbbind set)
4ocq,docking,pdbbind,4ocq does not contain any pose data
4ocq,crystal,pdbbind,no ligand for 4ocq (pdbbind set)
